citation,cruise_name,broad_ocean,ocean_region,Lat_dd_N,Lon_dd_W,depth_m,link_to_citation,key_words,,other_notes
Zhao et al. 2024,,Atlantic,North Atlantic,23.79,-23.92,4000,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Atlantic,Atlantic Too maybe,23.55,-48.08,2000,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Atlantic,Atlantic Too maybe,15.89,-68.91,2000,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Atlantic,Atlantic Too maybe,10.34,-36.96,2000,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Zhao et al. 2024,,Pacific,South Pacific,-17.48,-149.83,5,https://www.nature.com/articles/s41467-024-50867-z,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50867-z/MediaObjects/41467_2024_50867_MOESM1_ESM.pdf
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,16.995,-155.502,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,11.9995,-155.45,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,10,-156,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,8,-156,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,10,-150,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,10,-145,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,10,-140,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,9,-140,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
Saunders et al. 2022,ProteOMZ,Pacific,Central Pacific,8,-140,,https://www.pnas.org/doi/10.1073/pnas.2200014119,,,
